home,away,league,home_score,away_score,home_starting_1,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,home_bench_3,home_bench_4,home_bench_5,away_starting_1,away_starting_2,away_starting_3,away_starting_4,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11,away_bench_3,away_bench_4,away_bench_5
Stoke City,Watford,2016/2017 English Premier League,2,0,Lee Grant,Ryan Shawcross,Bruno Martins Indi,Glen Johnson,Charlie Adam,Joe Allen,Erik Pieters,Mame Biram Diouf,Peter Crouch,Marko Arnautovic,Jonathan Walters,Bojan Krkic,Xherdan Shaqiri,Giannelli Imbula,Heurelho Gomes,Sebastian Prodl,Miguel Britos,Younes Kaboul,Adlene Guedioura,Valon Behrami,Jose Holebas,Christian Kabasele,Troy Deeney,Abdoulaye Doucoure,Brandon Mason,Andrew Eleftheriou,Michael Folivi
Tottenham Hotspur,Chelsea,2016/2017 English Premier League,2,0,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Eric Dier,Victor Wanyama,Mousa Dembele,Danny Rose,Kyle Walker,Harry Kane,Dele Alli,Christian Eriksen,Kieran Trippier,Kevin Wimmer,Harry Winks,Thibaut Courtois,David Luiz,Gary Cahill,Cesar Azpilicueta,Nemanja Matic,Marcos Alonso,Victor Moses,Diego Costa,Eden Hazard,Pedro,Nathaniel Chalobah,Kurt Zouma,Cesc Fabregas
Tottenham Hotspur,West Bromwich Albion,2016/2017 English Premier League,4,0,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Eric Dier,Mousa Dembele,Victor Wanyama,Danny Rose,Kyle Walker,Harry Kane,Dele Alli,Christian Eriksen,Kieran Trippier,Georges-Kevin Nkoudou,Ben Davies,Ben Foster,Jonas Olsson,Gareth McAuley,Chris Brunt,James Morrison,Claudio Yacob,Darren Fletcher,Salomon Rondon,Matt Phillips,Nacer Chadli,Jonathan Leko,Kane Wilson,James McClean
Burnley,Southampton,2016/2017 English Premier League,1,0,Tom Heaton,Ben Mee,Michael Keane,Stephen Ward,Matthew Lowton,Jeff Hendrick,Dean Marney,Steven Defour,George Boyd,Andre Gray,Ashley Barnes,Michael Kightly,Tendayi Darikwa,Joey Barton,Fraser Forster,Virgil van Dijk,Maya Yoshida,Ryan Bertrand,Oriol Romeu,James Ward-Prowse,Pierre-Emile H©ªjbjerg,Shane Long,Dusan Tadic,Nathan Redmond,Jordy Clasie,Jack Stephens,Harrison Reed
Hull City,AFC Bournemouth,2016/2017 English Premier League,3,1,Eldin Jakupovic,Michael Dawson,Curtis Davies,Harry Maguire,Sam Clucas,Ryan Mason,Tom Huddlestone,Andy Robertson,Adama Diomande,Abel Hernandez,Robert Snodgrass,Jarrod Bowen,Josh Tymon,Jake Livermore,Artur Boruc,Tyrone Mings,Steve Cook,Charlie Daniels,Jack Wilshere,Harry Arter,Andrew Surman,Benik Afobe,Ryan Fraser,Junior Stanislas,Jordon Ibe,Brad Smith,Callum Wilson
Sunderland,Stoke City,2016/2017 English Premier League,1,3,Vito Mannone,Papy Djilobodji,John O'Shea,Patrick van Aanholt,Donald Love,Adnan Januzaj,Jason Denayer,Jack Rodwell,Jermain Defoe,Sebastian Larsson,Fabio Borini,Javier Manquillo,George Honeyman,Elliot Embleton,Lee Grant,Bruno Martins Indi,Ryan Shawcross,Erik Pieters,Joe Allen,Charlie Adam,Glenn Whelan,Peter Crouch,Marko Arnautovic,Xherdan Shaqiri,Marc Muniesa,Giannelli Imbula,Joel Taylor
Swansea City,Arsenal,2016/2017 English Premier League,0,4,Lukasz Fabianski,Alfie Mawson,Federico Fernandez,Stephen Kingsley,Kyle Naughton,Gylfi Sigurdsson,Jack Cork,Ki Sung-Yueng,Fernando Llorente,Wayne Routledge,Nathan Dyer,Jay Fulton,Mike van der Hoorn,Oliver McBurnie,Petr Cech,Laurent Koscielny,Shkodran Mustafi,Nacho Monreal,Mesut Ozil,Granit Xhaka,Aaron Ramsey,Olivier Giroud,Alexis Sanchez,Alex Iwobi,Rob Holding,Jeff Reine-Adelaide,Lucas Perez
Watford,Middlesbrough,2016/2017 English Premier League,0,0,Heurelho Gomes,Sebastian Prodl,Miguel Britos,Younes Kaboul,Valon Behrami,Etienne Capoue,Abdoulaye Doucoure,Jose Holebas,Christian Kabasele,Stefano Okaka,Troy Deeney,Ben Watson,Jerome Sinclair,Costel Pantilimon,Victor Valdes,Calum Chambers,Ben Gibson,Bernardo Espinosa,Adam Forshaw,Grant Leadbitter,George Friend,Fabio,Cristhian Stuani,Alvaro Negredo,Adam Clayton,Viktor Fischer,Adama Traore
West Ham United,Crystal Palace,2016/2017 English Premier League,3,0,Darren Randolph,Winston Reid,Angelo Ogbonna,James Collins,Pedro Obiang,Mark Noble,Aaron Cresswell,Michail Antonio,Andy Carroll,Sofiane Feghouli,Manuel Lanzini,Reece Oxford,Domingos Quina,Sam Byram,Wayne Hennessey,Damien Delaney,Scott Dann,Joel Ward,Yohan Cabaye,Joe Ledley,James McArthur,Christian Benteke,Jason Puncheon,Andros Townsend,Martin Kelly,Ezekiel Fryers,Jeff Schlupp
Leicester City,Chelsea,2016/2017 English Premier League,0,3,Kasper Schmeichel,Robert Huth,Christian Fuchs,Wes Morgan,Nampalys Mendy,Danny Drinkwater,Wilfred Ndidi,Ben Chilwell,Marc Albrighton,Ahmed Musa,Jamie Vardy,Ron-Robert Zieler,Bartosz Kapustka,Shinji Okazaki,Thibaut Courtois,David Luiz,Gary Cahill,Cesar Azpilicueta,N'Golo Kante,Marcos Alonso,Victor Moses,Eden Hazard,Pedro,Willian,Nathaniel Chalobah,Kurt Zouma,Cesc Fabregas
Everton,Manchester City,2016/2017 English Premier League,4,0,Joel Robles,Ashley Williams,Ramiro Funes Mori,Mason Holgate,Ross Barkley,Tom Davies,Gareth Barry,Leighton Baines,Seamus Coleman,Romelu Lukaku,Kevin Mirallas,Aaron Lennon,Enner Valencia,Ademola Lookman,Claudio Bravo,John Stones,Nicolas Otamendi,Yaya Toure,Bacary Sagna,David Silva,Kevin De Bruyne,Pablo Zabaleta,Sergio Aguero,Raheem Sterling,Fabian Delph,Aleksandar Kolarov,Leroy Sane
Manchester United,Liverpool,2016/2017 English Premier League,1,1,David de Gea,Marcos Rojo,Phil Jones,Matteo Darmian,Antonio Valencia,Michael Carrick,Paul Pogba,Ander Herrera,Zlatan Ibrahimovic,Anthony Martial,Henrikh Mkhitaryan,Daley Blind,Marcus Rashford,Marouane Fellaini,Simon Mignolet,Ragnar Klavan,Dejan Lovren,James Milner,Jordan Henderson,Emre Can,Georginio Wijnaldum,Divock Origi,Adam Lallana,Roberto Firmino,Kevin Stewart,Loris Karius,Alberto Moreno
Liverpool,Swansea City,2016/2017 English Premier League,2,3,Simon Mignolet,Ragnar Klavan,Dejan Lovren,James Milner,Nathaniel Clyne,Jordan Henderson,Emre Can,Georginio Wijnaldum,Roberto Firmino,Philippe Coutinho,Adam Lallana,Alberto Moreno,Ben Woodburn,Divock Origi,Lukasz Fabianski,Alfie Mawson,Federico Fernandez,Martin Olsson,Jack Cork,Thomas Carroll,Leroy Fer,Fernando Llorente,Gylfi Sigurdsson,Wayne Routledge,Jordi Amat,Oliver McBurnie,Angel Rangel
AFC Bournemouth,Watford,2016/2017 English Premier League,2,2,Artur Boruc,Tyrone Mings,Steve Cook,Charlie Daniels,Adam Smith,Joshua King,Jack Wilshere,Andrew Surman,Callum Wilson,Ryan Fraser,Junior Stanislas,Harry Arter,Brad Smith,Jordon Ibe,Heurelho Gomes,Sebastian Prodl,Miguel Britos,Younes Kaboul,Etienne Capoue,Tom Cleverley,Jose Holebas,Christian Kabasele,Troy Deeney,Stefano Okaka,Jerome Sinclair,Brandon Mason,Odion Ighalo
Crystal Palace,Everton,2016/2017 English Premier League,0,1,Wayne Hennessey,Scott Dann,Damien Delaney,James Tomkins,Jason Puncheon,Yohan Cabaye,James McArthur,Jeff Schlupp,Joel Ward,Christian Benteke,Loic Remy,Martin Kelly,Sullay Kaikai,Joe Ledley,Joel Robles,Ashley Williams,Ramiro Funes Mori,Mason Holgate,Tom Davies,Gareth Barry,Leighton Baines,Seamus Coleman,Kevin Mirallas,Romelu Lukaku,Bryan Oviedo,Enner Valencia,Phil Jagielka
Middlesbrough,West Ham United,2016/2017 English Premier League,1,3,Victor Valdes,Ben Gibson,Bernardo Espinosa,George Friend,Calum Chambers,Marten de Roon,Adam Forshaw,Adam Clayton,Alvaro Negredo,Cristhian Stuani,Adama Traore,Brad Guzan,Fabio,Viktor Fischer,Darren Randolph,Angelo Ogbonna,Winston Reid,Aaron Cresswell,Mark Noble,Pedro Obiang,Manuel Lanzini,Sofiane Feghouli,Michail Antonio,Andy Carroll,Ashley Fletcher,Domingos Quina,Edimilson Fernandes
Stoke City,Manchester United,2016/2017 English Premier League,1,1,Lee Grant,Bruno Martins Indi,Ryan Shawcross,Erik Pieters,Glen Johnson,Joe Allen,Charlie Adam,Glenn Whelan,Peter Crouch,Marko Arnautovic,Xherdan Shaqiri,Bojan Krkic,Marc Muniesa,Ibrahim Afellay,David de Gea,Phil Jones,Chris Smalling,Daley Blind,Ander Herrera,Paul Pogba,Marouane Fellaini,Zlatan Ibrahimovic,Henrikh Mkhitaryan,Juan Mata,Matteo Darmian,Sergio Romero,Marcus Rashford
West Bromwich Albion,Sunderland,2016/2017 English Premier League,2,0,Ben Foster,Gareth McAuley,Craig Dawson,Chris Brunt,Allan Nyom,James Morrison,Claudio Yacob,Darren Fletcher,Salomon Rondon,Nacer Chadli,Matt Phillips,Jonathan Leko,Sam Field,Jake Livermore,Vito Mannone,John O'Shea,Papy Djilobodji,Jason Denayer,Sebastian Larsson,Patrick van Aanholt,Billy Jones,Jermain Defoe,George Honeyman,Adnan Januzaj,Elliot Embleton,Donald Love,Ethan Robson
Manchester City,Tottenham Hotspur,2016/2017 English Premier League,2,2,Claudio Bravo,Aleksandar Kolarov,Nicolas Otamendi,Yaya Toure,Gael Clichy,Pablo Zabaleta,David Silva,Kevin De Bruyne,Leroy Sane,Raheem Sterling,Sergio Aguero,Fernando,Nolito,John Stones,Hugo Lloris,Toby Alderweireld,Kevin Wimmer,Eric Dier,Victor Wanyama,Danny Rose,Kyle Walker,Harry Kane,Dele Alli,Christian Eriksen,Kieran Trippier,Cameron Carter-Vickers,Harry Winks
Southampton,Leicester City,2016/2017 English Premier League,3,0,Fraser Forster,Virgil van Dijk,Maya Yoshida,Ryan Bertrand,Cedric Soares,Oriol Romeu,James Ward-Prowse,Pierre-Emile H©ªjbjerg,Jay Rodriguez,Dusan Tadic,Nathan Redmond,Sam McQueen,Jose Sams,Jack Stephens,Kasper Schmeichel,Robert Huth,Wes Morgan,Wilfred Ndidi,Danny Simpson,Shinji Okazaki,Nampalys Mendy,Danny Drinkwater,Jamie Vardy,Demarai Gray,Ron-Robert Zieler,Ben Chilwell,Bartosz Kapustka
Arsenal,Burnley,2016/2017 English Premier League,2,1,Petr Cech,Laurent Koscielny,Shkodran Mustafi,Nacho Monreal,Gabriel,Mesut Ozil,Granit Xhaka,Aaron Ramsey,Olivier Giroud,Alexis Sanchez,Alex Iwobi,Alex Oxlade-Chamberlain,Lucas Perez,Hector Bellerin,Tom Heaton,Ben Mee,Michael Keane,Stephen Ward,Jeff Hendrick,Dean Marney,Steven Defour,George Boyd,Ashley Barnes,Andre Gray,Michael Kightly,Tendayi Darikwa,Joey Barton
Chelsea,Hull City,2016/2017 English Premier League,2,0,Thibaut Courtois,David Luiz,Gary Cahill,Cesar Azpilicueta,Nemanja Matic,N'Golo Kante,Marcos Alonso,Victor Moses,Diego Costa,Eden Hazard,Pedro,Nathan Ake,Kurt Zouma,Michy Batshuayi,Eldin Jakupovic,Michael Dawson,Curtis Davies,Harry Maguire,Tom Huddlestone,Andy Robertson,Omar Elabdellaoui,Abel Hernandez,Sam Clucas,Evandro Goebel,Jarrod Bowen,Josh Tymon,Oumar Niasse
AFC Bournemouth,Crystal Palace,2016/2017 English Premier League,0,2,Artur Boruc,Steve Cook,Simon Francis,Brad Smith,Adam Smith,Joshua King,Jack Wilshere,Andrew Surman,Benik Afobe,Ryan Fraser,Junior Stanislas,Ryan Allsop,Tyrone Mings,Harry Arter,Wayne Hennessey,Scott Dann,Damien Delaney,James Tomkins,Yohan Cabaye,Patrick van Aanholt,Joel Ward,Christian Benteke,James McArthur,Wilfried Zaha,Loic Remy,Ezekiel Fryers,Mathieu Flamini
Arsenal,Watford,2016/2017 English Premier League,1,2,Petr Cech,Laurent Koscielny,Shkodran Mustafi,Nacho Monreal,Gabriel,Mesut Ozil,Francis Coquelin,Aaron Ramsey,Olivier Giroud,Alexis Sanchez,Alex Iwobi,Hector Bellerin,Ainsley Maitland-Niles,Lucas Perez,Heurelho Gomes,Sebastian Prodl,Younes Kaboul,Miguel Britos,Tom Cleverley,Etienne Capoue,Valon Behrami,M'Baye Niang,Daryl Janmaat,Troy Deeney,Ben Watson,Brandon Mason,Abdoulaye Doucoure
Burnley,Leicester City,2016/2017 English Premier League,1,0,Tom Heaton,Ben Mee,Michael Keane,Stephen Ward,Matthew Lowton,Joey Barton,Jeff Hendrick,George Boyd,Steven Defour,Andre Gray,Ashley Barnes,Johann Gudmundsson,Tendayi Darikwa,James Tarkowski,Kasper Schmeichel,Robert Huth,Wes Morgan,Christian Fuchs,Wilfred Ndidi,Danny Drinkwater,Marc Albrighton,Riyad Mahrez,Demarai Gray,Jamie Vardy,Ron-Robert Zieler,Nampalys Mendy,Ben Chilwell
Middlesbrough,West Bromwich Albion,2016/2017 English Premier League,1,1,Victor Valdes,Ben Gibson,Bernardo Espinosa,Fabio,Antonio Barragan,Adam Clayton,Adam Forshaw,Marten de Roon,Alvaro Negredo,Cristhian Stuani,Adama Traore,Dimitrios Konstantopoulos,Daniel Ayala,Viktor Fischer,Ben Foster,Gareth McAuley,Craig Dawson,Chris Brunt,James Morrison,Claudio Yacob,Darren Fletcher,Salomon Rondon,Matt Phillips,Nacer Chadli,Jake Livermore,Jonathan Leko,Sam Field
Sunderland,Tottenham Hotspur,2016/2017 English Premier League,0,0,Vito Mannone,John O'Shea,Jason Denayer,Lamine Kone,Sebastian Larsson,Didier N'Dong,Jack Rodwell,Javier Manquillo,Billy Jones,Jermain Defoe,Fabio Borini,Mika,Adnan Januzaj,Lynden Gooch,Michel Vorm,Toby Alderweireld,Eric Dier,Danny Rose,Christian Eriksen,Victor Wanyama,Mousa Dembele,Harry Kane,Dele Alli,Son Heung-Min,Pau Lopez,Cameron Carter-Vickers,Ben Davies
Swansea City,Southampton,2016/2017 English Premier League,2,1,Lukasz Fabianski,Alfie Mawson,Federico Fernandez,Martin Olsson,Kyle Naughton,Jack Cork,Thomas Carroll,Leroy Fer,Fernando Llorente,Gylfi Sigurdsson,Wayne Routledge,Jordi Amat,Borja Baston,Angel Rangel,Fraser Forster,Maya Yoshida,Jack Stephens,Ryan Bertrand,Oriol Romeu,Jordy Clasie,Steven Davis,Shane Long,Nathan Redmond,Dusan Tadic,Pierre-Emile H©ªjbjerg,Harrison Reed,Sam McQueen
Liverpool,Chelsea,2016/2017 English Premier League,1,1,Simon Mignolet,Dejan Lovren,Joel Matip,James Milner,Nathaniel Clyne,Jordan Henderson,Emre Can,Georginio Wijnaldum,Roberto Firmino,Philippe Coutinho,Adam Lallana,Lucas Leiva,Loris Karius,Alberto Moreno,Thibaut Courtois,David Luiz,Gary Cahill,Cesar Azpilicueta,N'Golo Kante,Marcos Alonso,Victor Moses,Diego Costa,Eden Hazard,Willian,Nathaniel Chalobah,Kurt Zouma,Michy Batshuayi
West Ham United,Manchester City,2016/2017 English Premier League,0,4,Darren Randolph,Winston Reid,Jose Fonte,Aaron Cresswell,Sam Byram,Michail Antonio,Mark Noble,Pedro Obiang,Andy Carroll,Manuel Lanzini,Sofiane Feghouli,Domingos Quina,James Collins,Robert Snodgrass,Wilfredo Caballero,Nicolas Otamendi,John Stones,Yaya Toure,Bacary Sagna,David Silva,Kevin De Bruyne,Leroy Sane,Raheem Sterling,Gabriel Jesus,Vincent Kompany,Claudio Bravo,Fabian Delph
Manchester United,Hull City,2016/2017 English Premier League,0,0,David de Gea,Marcos Rojo,Phil Jones,Daley Blind,Antonio Valencia,Michael Carrick,Paul Pogba,Ander Herrera,Zlatan Ibrahimovic,Marcus Rashford,Henrikh Mkhitaryan,Jesse Lingard,Anthony Martial,Chris Smalling,Eldin Jakupovic,Harry Maguire,Michael Dawson,Tom Huddlestone,David Meyler,Sam Clucas,Evandro Goebel,Josh Tymon,Lazar Markovic,Oumar Niasse,Jarrod Bowen,Adama Diomande,Omar Elabdellaoui
Stoke City,Everton,2016/2017 English Premier League,1,1,Lee Grant,Bruno Martins Indi,Ryan Shawcross,Erik Pieters,Phil Bardsley,Joe Allen,Charlie Adam,Glenn Whelan,Peter Crouch,Marko Arnautovic,Ibrahim Afellay,Giannelli Imbula,Wilfried Bony,Thomas Edwards,Joel Robles,Ashley Williams,Ramiro Funes Mori,Mason Holgate,Tom Davies,Morgan Schneiderlin,Leighton Baines,Seamus Coleman,Kevin Mirallas,Romelu Lukaku,Maarten Stekelenburg,Aaron Lennon,Enner Valencia
Chelsea,Arsenal,2016/2017 English Premier League,3,1,Thibaut Courtois,David Luiz,Gary Cahill,Cesar Azpilicueta,Nemanja Matic,N'Golo Kante,Marcos Alonso,Victor Moses,Diego Costa,Eden Hazard,Pedro,Nathaniel Chalobah,Michy Batshuayi,Kurt Zouma,Petr Cech,Laurent Koscielny,Shkodran Mustafi,Nacho Monreal,Mesut Ozil,Francis Coquelin,Alex Oxlade-Chamberlain,Alexis Sanchez,Alex Iwobi,Theo Walcott,Ainsley Maitland-Niles,Jeff Reine-Adelaide,Gabriel
Crystal Palace,Sunderland,2016/2017 English Premier League,0,4,Wayne Hennessey,Scott Dann,Damien Delaney,James Tomkins,Yohan Cabaye,Jason Puncheon,Patrick van Aanholt,Joel Ward,Christian Benteke,James McArthur,Wilfried Zaha,Mamadou Sakho,Ezekiel Fryers,Andros Townsend,Vito Mannone,John O'Shea,Jason Denayer,Lamine Kone,Didier N'Dong,Jack Rodwell,Bryan Oviedo,Billy Jones,Jermain Defoe,Adnan Januzaj,Mika,Javier Manquillo,Joleon Lescott
Everton,AFC Bournemouth,2016/2017 English Premier League,6,3,Joel Robles,Ramiro Funes Mori,Ashley Williams,Leighton Baines,Seamus Coleman,Gareth Barry,Morgan Schneiderlin,James McCarthy,Romelu Lukaku,Ademola Lookman,Ross Barkley,Idrissa Gueye,Enner Valencia,Mason Holgate,Artur Boruc,Steve Cook,Tyrone Mings,Simon Francis,Harry Arter,Andrew Surman,Marc Pugh,Ryan Fraser,Joshua King,Jack Wilshere,Baily Cargill,Lys Mousset,Brad Smith
Hull City,Liverpool,2016/2017 English Premier League,2,0,Eldin Jakupovic,Harry Maguire,Michael Dawson,Andrea Ranocchia,Andy Robertson,Omar Elabdellaoui,Evandro Goebel,Alfred N'Diaye,Tom Huddlestone,Abel Hernandez,Sam Clucas,Dieumerci Mbokani,Adama Diomande,Josh Tymon,Simon Mignolet,Lucas Leiva,Joel Matip,James Milner,Jordan Henderson,Emre Can,Adam Lallana,Roberto Firmino,Philippe Coutinho,Sadio Mane,Loris Karius,Trent Alexander-Arnold,Alberto Moreno
Southampton,West Ham United,2016/2017 English Premier League,1,3,Fraser Forster,Maya Yoshida,Jack Stephens,Ryan Bertrand,Cedric Soares,Oriol Romeu,James Ward-Prowse,Steven Davis,Manolo Gabbiadini,Jay Rodriguez,Sofiane Boufal,Florin Gardos,Pierre-Emile H©ªjbjerg,Sam McQueen,Darren Randolph,Winston Reid,Jose Fonte,Aaron Cresswell,Pedro Obiang,Mark Noble,Robert Snodgrass,Sofiane Feghouli,Andy Carroll,Michail Antonio,Ashley Fletcher,Domingos Quina,James Collins
Watford,Burnley,2016/2017 English Premier League,2,1,Heurelho Gomes,Sebastian Prodl,Younes Kaboul,Jose Holebas,Craig Cathcart,Valon Behrami,Tom Cleverley,Etienne Capoue,Troy Deeney,Mauro Zarate,M'Baye Niang,Giedrius Arlauskis,Ben Watson,Abdoulaye Doucoure,Tom Heaton,Ben Mee,Michael Keane,Stephen Ward,Jeff Hendrick,Joey Barton,Scott Arfield,George Boyd,Andre Gray,Ashley Barnes,Johann Gudmundsson,James Tarkowski,Ashley Westwood
West Bromwich Albion,Stoke City,2016/2017 English Premier League,1,0,Ben Foster,Gareth McAuley,Craig Dawson,Chris Brunt,Allan Nyom,James Morrison,Jake Livermore,Darren Fletcher,Salomon Rondon,Nacer Chadli,Matt Phillips,Marc Wilson,Jonathan Leko,Sam Field,Lee Grant,Bruno Martins Indi,Ryan Shawcross,Erik Pieters,Joe Allen,Charlie Adam,Glenn Whelan,Peter Crouch,Marko Arnautovic,Ibrahim Afellay,Giannelli Imbula,Wilfried Bony,Mame Biram Diouf
Tottenham Hotspur,Middlesbrough,2016/2017 English Premier League,1,0,Hugo Lloris,Toby Alderweireld,Eric Dier,Ben Davies,Kyle Walker,Dele Alli,Victor Wanyama,Mousa Dembele,Harry Kane,Son Heung-Min,Christian Eriksen,Josh Onomah,Cameron Carter-Vickers,Harry Winks,Victor Valdes,Ben Gibson,Bernardo Espinosa,Fabio,Adam Clayton,Adam Forshaw,Marten de Roon,Alvaro Negredo,Stewart Downing,Adama Traore,Rudy Gestede,Daniel Ayala,Adlene Guedioura
Manchester City,Swansea City,2016/2017 English Premier League,2,1,Wilfredo Caballero,Aleksandar Kolarov,John Stones,Gael Clichy,Fernandinho,Yaya Toure,David Silva,Kevin De Bruyne,Gabriel Jesus,Leroy Sane,Raheem Sterling,Claudio Bravo,Fabian Delph,Fernando,Lukasz Fabianski,Alfie Mawson,Federico Fernandez,Martin Olsson,Jack Cork,Thomas Carroll,Leroy Fer,Fernando Llorente,Gylfi Sigurdsson,Wayne Routledge,Jordi Amat,Stephen Kingsley,Nathan Dyer
Leicester City,Manchester United,2016/2017 English Premier League,0,3,Kasper Schmeichel,Robert Huth,Wes Morgan,Christian Fuchs,Danny Simpson,Shinji Okazaki,Wilfred Ndidi,Danny Drinkwater,Jamie Vardy,Ahmed Musa,Riyad Mahrez,Marc Albrighton,Ben Chilwell,Bartosz Kapustka,David de Gea,Chris Smalling,Eric Bailly,Marcos Rojo,Paul Pogba,Ander Herrera,Henrikh Mkhitaryan,Juan Mata,Zlatan Ibrahimovic,Marcus Rashford,Jesse Lingard,Anthony Martial,Daley Blind
Arsenal,Hull City,2016/2017 English Premier League,2,0,Petr Cech,Laurent Koscielny,Shkodran Mustafi,Kieran Gibbs,Hector Bellerin,Mesut Ozil,Francis Coquelin,Alex Oxlade-Chamberlain,Alexis Sanchez,Alex Iwobi,Theo Walcott,David Ospina,Gabriel,Lucas Perez,Eldin Jakupovic,Harry Maguire,Andrea Ranocchia,Tom Huddlestone,Omar Elabdellaoui,Sam Clucas,Alfred N'Diaye,Kamil Grosicki,Lazar Markovic,Oumar Niasse,David Meyler,Josh Tymon,Adama Diomande
Manchester United,Watford,2016/2017 English Premier League,2,0,David de Gea,Chris Smalling,Eric Bailly,Daley Blind,Antonio Valencia,Henrikh Mkhitaryan,Paul Pogba,Ander Herrera,Zlatan Ibrahimovic,Anthony Martial,Juan Mata,Matteo Darmian,Sergio Romero,Jesse Lingard,Heurelho Gomes,Sebastian Prodl,Miguel Britos,Younes Kaboul,Etienne Capoue,Jose Holebas,Craig Cathcart,Troy Deeney,M'Baye Niang,Mauro Zarate,Giedrius Arlauskis,Abdoulaye Doucoure,Daryl Janmaat
Middlesbrough,Everton,2016/2017 English Premier League,0,0,Victor Valdes,Ben Gibson,Bernardo Espinosa,Fabio,Calum Chambers,Adam Clayton,Adam Forshaw,Marten de Roon,Alvaro Negredo,Cristhian Stuani,Adama Traore,Brad Guzan,Daniel Ayala,Adlene Guedioura,Joel Robles,Ramiro Funes Mori,Ashley Williams,Leighton Baines,Morgan Schneiderlin,Idrissa Gueye,Tom Davies,Romelu Lukaku,Ademola Lookman,Ross Barkley,Arouna Kone,Mason Holgate,Enner Valencia
Stoke City,Crystal Palace,2016/2017 English Premier League,1,0,Lee Grant,Bruno Martins Indi,Ryan Shawcross,Erik Pieters,Phil Bardsley,Joe Allen,Charlie Adam,Glenn Whelan,Peter Crouch,Ramadan Sobhi,Marko Arnautovic,Giannelli Imbula,Saido Berahino,Glen Johnson,Wayne Hennessey,Damien Delaney,James Tomkins,Patrick van Aanholt,Jason Puncheon,James McArthur,Luka Milivojevic,Christian Benteke,Andros Townsend,Wilfried Zaha,Fraizer Campbell,Mamadou Sakho,Yohan Cabaye
Sunderland,Southampton,2016/2017 English Premier League,0,4,Vito Mannone,John O'Shea,Jason Denayer,Lamine Kone,Sebastian Larsson,Didier N'Dong,Darron Gibson,Bryan Oviedo,Billy Jones,Jermain Defoe,Adnan Januzaj,Javier Manquillo,George Honeyman,Steven Pienaar,Fraser Forster,Maya Yoshida,Jack Stephens,Ryan Bertrand,Dusan Tadic,Oriol Romeu,Steven Davis,Manolo Gabbiadini,Nathan Redmond,James Ward-Prowse,Mouez Hassen,Sam McQueen,Jose Sams
West Ham United,West Bromwich Albion,2016/2017 English Premier League,2,2,Darren Randolph,Winston Reid,Jose Fonte,Aaron Cresswell,Cheikhou Kouyate,Robert Snodgrass,Pedro Obiang,Mark Noble,Michail Antonio,Manuel Lanzini,Sofiane Feghouli,Sam Byram,Ashley Fletcher,Jonathan Calleri,Ben Foster,Gareth McAuley,Craig Dawson,Chris Brunt,James Morrison,Jake Livermore,Darren Fletcher,Salomon Rondon,Nacer Chadli,Matt Phillips,Marc Wilson,James McClean,Claudio Yacob
Liverpool,Tottenham Hotspur,2016/2017 English Premier League,2,0,Simon Mignolet,Lucas Leiva,Joel Matip,James Milner,Nathaniel Clyne,Jordan Henderson,Georginio Wijnaldum,Adam Lallana,Roberto Firmino,Philippe Coutinho,Sadio Mane,Alberto Moreno,Divock Origi,Ragnar Klavan,Hugo Lloris,Eric Dier,Toby Alderweireld,Ben Davies,Dele Alli,Victor Wanyama,Mousa Dembele,Harry Kane,Son Heung-Min,Christian Eriksen,Kevin Wimmer,Georges-Kevin Nkoudou,Moussa Sissoko
Burnley,Chelsea,2016/2017 English Premier League,1,1,Tom Heaton,Ben Mee,Michael Keane,Stephen Ward,Matthew Lowton,Ashley Westwood,Joey Barton,Robbie Brady,George Boyd,Ashley Barnes,Andre Gray,Johann Gudmundsson,James Tarkowski,Tendayi Darikwa,Thibaut Courtois,David Luiz,Gary Cahill,Cesar Azpilicueta,N'Golo Kante,Marcos Alonso,Victor Moses,Diego Costa,Eden Hazard,Pedro,Nathan Ake,Kurt Zouma,Cesc Fabregas
Swansea City,Leicester City,2016/2017 English Premier League,2,0,Lukasz Fabianski,Alfie Mawson,Federico Fernandez,Martin Olsson,Kyle Naughton,Jack Cork,Thomas Carroll,Leroy Fer,Fernando Llorente,Gylfi Sigurdsson,Nathan Dyer,Jordi Amat,Stephen Kingsley,Jordan Ayew,Kasper Schmeichel,Robert Huth,Wes Morgan,Christian Fuchs,Wilfred Ndidi,Danny Drinkwater,Marc Albrighton,Riyad Mahrez,Jamie Vardy,Demarai Gray,Ron-Robert Zieler,Ahmed Musa,Ben Chilwell
AFC Bournemouth,Manchester City,2016/2017 English Premier League,0,2,Artur Boruc,Steve Cook,Simon Francis,Andrew Surman,Charlie Daniels,Adam Smith,Harry Arter,Jack Wilshere,Ryan Fraser,Jordon Ibe,Joshua King,Ryan Allsop,Brad Smith,Tyrone Mings,Wilfredo Caballero,Aleksandar Kolarov,John Stones,Fernandinho,Yaya Toure,David Silva,Kevin De Bruyne,Gabriel Jesus,Leroy Sane,Raheem Sterling,Fabian Delph,Fernando,Nicolas Otamendi
