home,away,league,home_score,away_score,home_goalkeeper,away_goalkeeper,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,away_starting_2,away_starting_3,away_starting_4,away_starting_5,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11
Bournemouth,Chelsea,2015-2016 Barclays Premier League,1,4,Artur Boruc,Asmir Begovic,Steve Cook,Tommy Elphick,Charlie Daniels,Simon Francis,Andrew Surman,Dan Gosling,Marc Pugh,Junior Stanislas,Joshua King,Lewis Grabban,Branislav Ivanovic,John Obi Mikel,Baba Rahman,Cesar Azpilicueta,Eden Hazard,Nemanja Matic,Cesc Fabregas,Diego Costa,Willian,Pedro
Aston Villa,Southampton,2015-2016 Barclays Premier League,2,4,Brad Guzan,Fraser Forster,Joleon Lescott,Micah Richards,Aly Cissokho,Alan Hutton,Idrissa Gueye,Carlos Sanchez,Ashley Westwood,Jordan Ayew,Scott Sinclair,Leandro Bacuna,Virgil van Dijk,Jose Fonte,Ryan Bertrand,Cedric Soares,Jay Rodriguez,Victor Wanyama,Oriol Romeu,Shane Long,Dusan Tadic,Steven Davis
Liverpool,Newcastle Utd,2015-2016 Barclays Premier League,2,2,Simon Mignolet,Karl Darlow,Kolo Toure,Dejan Lovren,Kevin Stewart,Alberto Moreno,Connor Randall,Adam Lallana,Joe Allen,James Milner,Daniel Sturridge,Roberto Firmino,Jamaal Lascelles,Chancel Mbemba,Paul Dummett,Vurnon Anita,Moussa Sissoko,Jack Colback,Cheick Tiote,Papiss Cisse,Ayoze Perez,Andros Townsend
Sunderland,Arsenal,2015-2016 Barclays Premier League,0,0,Vito Mannone,Petr Cech,Younes Kaboul,Lamine Kone,Jan Kirchhoff,Patrick van Aanholt,DeAndre Yedlin,Lee Cattermole,Yann M'vila,Wahbi Khazri,Fabio Borini,Jermain Defoe,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Hector Bellerin,Mesut Ozil,Aaron Ramsey,Mohamed Elneny,Olivier Giroud,Alex Iwobi,Alexis Sanchez
Leicester City,Swansea City,2015-2016 Barclays Premier League,4,0,Kasper Schmeichel,Lukasz Fabianski,Robert Huth,Wes Morgan,Christian Fuchs,Danny Simpson,Danny Drinkwater,N'Golo Kante,Jeff Schlupp,Riyad Mahrez,Shinji Okazaki,Leonardo Ulloa,Ashley Williams,Federico Fernandez,Leon Britton,Neil Taylor,Angel Rangel,Leroy Fer,Jack Cork,Wayne Routledge,Andre Ayew,Gylfi Sigurdsson
Tottenham,West Brom,2015-2016 Barclays Premier League,1,1,Hugo Lloris,Boaz Myhill,Jan Vertonghen,Toby Alderweireld,Danny Rose,Kyle Walker,Dele Alli,Mousa Dembele,Eric Dier,Harry Kane,Christian Eriksen,Erik Lamela,Jonas Olsson,Gareth McAuley,Claudio Yacob,Jonny Evans,Craig Dawson,Craig Gardner,Darren Fletcher,James McClean,Stephane Sessegnon,Salomon Rondon
Everton,Bournemouth,2015-2016 Barclays Premier League,2,1,Tim Howard,Artur Boruc,Matthew Pennington,John Stones,Leighton Baines,Muhamed Besic,Ross Barkley,Darron Gibson,James McCarthy,Oumar Niasse,Tom Cleverley,Aaron Lennon,Steve Cook,Tommy Elphick,Charlie Daniels,Simon Francis,Andrew Surman,Harry Arter,Marc Pugh,Matt Ritchie,Joshua King,Callum Wilson
Newcastle Utd,Crystal Palace,2015-2016 Barclays Premier League,1,0,Karl Darlow,Wayne Hennessey,Jamaal Lascelles,Chancel Mbemba,Paul Dummett,Vurnon Anita,Moussa Sissoko,Jack Colback,Cheick Tiote,Papiss Cisse,Georginio Wijnaldum,Andros Townsend,Damien Delaney,Scott Dann,Pape Souare,Joel Ward,James McArthur,Yohan Cabaye,Mile Jedinak,Connor Wickham,Yannick Bolasie,Jason Puncheon
Stoke City,Sunderland,2015-2016 Barclays Premier League,1,1,Jakob Haugaard,Vito Mannone,Geoff Cameron,Ryan Shawcross,Erik Pieters,Phil Bardsley,Charlie Adam,Giannelli Imbula,Glenn Whelan,Peter Crouch,Marko Arnautovic,Xherdan Shaqiri,Younes Kaboul,Lamine Kone,Jan Kirchhoff,Patrick van Aanholt,DeAndre Yedlin,Lee Cattermole,Yann M'vila,Wahbi Khazri,Fabio Borini,Jermain Defoe
Watford,Aston Villa,2015-2016 Barclays Premier League,3,2,Heurelho Gomes,Mark Bunn,Miguel Britos,Craig Cathcart,Ikechi Anya,Juan Carlos Paredes,Ben Watson,Mario Suarez,Jose Manuel Jurado,Almen Abdi,Odion Ighalo,Troy Deeney,Joleon Lescott,Kevin Toner,Ciaran Clark,Idrissa Gueye,Ashley Westwood,Leandro Bacuna,Aly Cissokho,Alan Hutton,Rudy Gestede,Jordan Ayew
