home,away,league,home_score,away_score,home_goalkeeper,away_goalkeeper,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,away_starting_2,away_starting_3,away_starting_4,away_starting_5,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11
Leicester City,Manchester Utd,2014-2015 Barclays Premier League,5,3,Kasper Schmeichel,David de Gea,Liam Moore,Wes Morgan,Paul Konchesky,Ritchie de Laet,Danny Drinkwater,Esteban Cambiasso,Dean Hammond,David Nugent,Jamie Vardy,Leonardo Ulloa,Tyler Blackett,Jonny Evans,Daley Blind,Marcos Rojo,Rafael,Wayne Rooney,Angel Di Maria,Ander Herrera,Radamel Falcao,Robin van Persie
Tottenham,West Brom,2014-2015 Barclays Premier League,0,1,Hugo Lloris,Ben Foster,Vlad Chiriches,Younes Kaboul,Danny Rose,Eric Dier,Christian Eriksen,Mousa Dembele,Etienne Capoue,Emmanuel Adebayor,Nacer Chadli,Erik Lamela,Joleon Lescott,Craig Dawson,Sebastien Pocognoli,Andre Wisdom,Stephane Sessegnon,Craig Gardner,James Morrison,Saido Berahino,Chris Brunt,Graham Dorrans
Everton,Crystal Palace,2014-2015 Barclays Premier League,2,3,Tim Howard,Julian Speroni,Sylvain Distin,Phil Jagielka,Leighton Baines,John Stones,Gareth Barry,Leon Osman,James McCarthy,Romelu Lukaku,Samuel Eto'o,Christian Atsu,Damien Delaney,Scott Dann,Joel Ward,Martin Kelly,Joe Ledley,Mile Jedinak,James McArthur,Fraizer Campbell,Yannick Bolasie,Jason Puncheon
Manchester City,Chelsea,2014-2015 Barclays Premier League,1,1,Joe Hart,Thibaut Courtois,Eliaquim Mangala,Vincent Kompany,Aleksandar Kolarov,Pablo Zabaleta,Yaya Toure,Fernandinho,David Silva,James Milner,Sergio Aguero,Edin Dzeko,John Terry,Gary Cahill,Cesar Azpilicueta,Branislav Ivanovic,Willian,Nemanja Matic,Cesc Fabregas,Diego Costa,Eden Hazard,Ramires
Liverpool,Everton,2014-2015 Barclays Premier League,1,1,Simon Mignolet,Tim Howard,Dejan Lovren,Martin Skrtel,Alberto Moreno,Javier Manquillo,Adam Lallana,Jordan Henderson,Steven Gerrard,Mario Balotelli,Raheem Sterling,Lazar Markovic,Phil Jagielka,John Stones,Leighton Baines,Tony Hibbert,Gareth Barry,Muhamed Besic,James McCarthy,Steven Naismith,Kevin Mirallas,Romelu Lukaku
Chelsea,Aston Villa,2014-2015 Barclays Premier League,3,0,Thibaut Courtois,Brad Guzan,John Terry,Gary Cahill,Cesar Azpilicueta,Branislav Ivanovic,Oscar,Nemanja Matic,Cesc Fabregas,Diego Costa,Eden Hazard,Willian,Nathan Baker,Philippe Senderos,Aly Cissokho,Alan Hutton,Ashley Westwood,Fabian Delph,Tom Cleverley,Gabriel Agbonlahor,Kieran Richardson,Andreas Weimann
Crystal Palace,Leicester City,2014-2015 Barclays Premier League,2,0,Julian Speroni,Kasper Schmeichel,Damien Delaney,Scott Dann,Joel Ward,Martin Kelly,Mile Jedinak,Joe Ledley,James McArthur,Fraizer Campbell,Yannick Bolasie,Jason Puncheon,Liam Moore,Wes Morgan,Paul Konchesky,Ritchie de Laet,Esteban Cambiasso,Danny Drinkwater,Dean Hammond,Leonardo Ulloa,David Nugent,Jamie Vardy
Hull City,Manchester City,2014-2015 Barclays Premier League,2,4,Allan McGregor,Wilfredo Caballero,Curtis Davies,Michael Dawson,Andy Robertson,Liam Rosenior,Tom Huddlestone,Mohamed Diame,Jake Livermore,Ahmed Elmohamady,Abel Hernandez,Nikica Jelavic,Eliaquim Mangala,Vincent Kompany,Gael Clichy,Pablo Zabaleta,Yaya Toure,Fernandinho,David Silva,James Milner,Sergio Aguero,Edin Dzeko
Manchester Utd,West Ham,2014-2015 Barclays Premier League,2,1,David de Gea,Adrian,Marcos Rojo,Paddy McNair,Daley Blind,Luke Shaw,Rafael,Wayne Rooney,Angel Di Maria,Ander Herrera,Radamel Falcao,Robin van Persie,Winston Reid,James Tomkins,Aaron Cresswell,Guy Demel,Stewart Downing,Diego Poyet,Alex Song,Enner Valencia,Morgan Amalfitano,Diafra Sakho
Southampton,QPR,2014-2015 Barclays Premier League,2,1,Fraser Forster,Robert Green,Toby Alderweireld,Jose Fonte,Ryan Bertrand,Nathaniel Clyne,Victor Wanyama,Morgan Schneiderlin,Steven Davis,Graziano Pelle,Sadio Mane,Dusan Tadic,Rio Ferdinand,Steven Caulker,Armand Traore,Mauricio Isla,Leroy Fer,Sandro,Eduardo Vargas,Matt Phillips,Charlie Austin,Niko Kranjcar
Sunderland,Swansea City,2014-2015 Barclays Premier League,0,0,Vito Mannone,Lukasz Fabianski,John O'Shea,Santiago Vergini,Lee Cattermole,Patrick van Aanholt,Billy Jones,Jack Rodwell,Sebastian Larsson,Adam Johnson,William Buckley,Connor Wickham,Ashley Williams,Federico Fernandez,Neil Taylor,Angel Rangel,Gylfi Sigurdsson,Ki Sung-Yueng,Jonjo Shelvey,Bafetimbi Gomis,Wayne Routledge,Nathan Dyer
Arsenal,Tottenham,2014-2015 Barclays Premier League,1,1,Wojciech Szczesny,Hugo Lloris,Laurent Koscielny,Per Mertesacker,Mikel Arteta,Kieran Gibbs,Calum Chambers,Jack Wilshere,Aaron Ramsey,Mesut Ozil,Alex Oxlade-Chamberlain,Danny Welbeck,Jan Vertonghen,Younes Kaboul,Danny Rose,Kyle Naughton,Christian Eriksen,Etienne Capoue,Ryan Mason,Emmanuel Adebayor,Nacer Chadli,Erik Lamela
West Brom,Burnley,2014-2015 Barclays Premier League,4,0,Ben Foster,Tom Heaton,Joleon Lescott,Craig Dawson,Sebastien Pocognoli,Andre Wisdom,Stephane Sessegnon,Craig Gardner,James Morrison,Saido Berahino,Chris Brunt,Graham Dorrans,Jason Shackell,Mike Duff,Ben Mee,Kieran Trippier,George Boyd,Scott Arfield,Steven Reid,Michael Kightly,Ross Wallace,Lukas Jutkiewicz
Stoke City,Newcastle Utd,2014-2015 Barclays Premier League,1,0,Asmir Begovic,Tim Krul,Marc Wilson,Ryan Shawcross,Marc Muniesa,Phil Bardsley,Charlie Adam,Steven N'Zonzi,Glenn Whelan,Peter Crouch,Victor Moses,Mame Biram Diouf,Fabricio Coloccini,Michael Williamson,Paul Dummett,Daryl Janmaat,Remy Cabella,Jack Colback,Cheick Tiote,Emmanuel Riviere,Yoan Gouffran,Moussa Sissoko
Hull City,Crystal Palace,2014-2015 Barclays Premier League,2,0,Steve Harper,Julian Speroni,Michael Dawson,Curtis Davies,James Chester,Tom Huddlestone,Mohamed Diame,Jake Livermore,Andy Robertson,Ahmed Elmohamady,Nikica Jelavic,Abel Hernandez,Damien Delaney,Scott Dann,Joel Ward,Martin Kelly,Mile Jedinak,Joe Ledley,James McArthur,Fraizer Campbell,Yannick Bolasie,Jason Puncheon
Leicester City,Burnley,2014-2015 Barclays Premier League,2,2,Kasper Schmeichel,Tom Heaton,Liam Moore,Wes Morgan,Paul Konchesky,Ritchie de Laet,Dean Hammond,Danny Drinkwater,Jeff Schlupp,Riyad Mahrez,Leonardo Ulloa,Jamie Vardy,Jason Shackell,Mike Duff,Ben Mee,Kieran Trippier,Stephen Ward,Scott Arfield,George Boyd,Michael Kightly,Lukas Jutkiewicz,Ashley Barnes
Liverpool,West Brom,2014-2015 Barclays Premier League,2,1,Simon Mignolet,Ben Foster,Dejan Lovren,Martin Skrtel,Alberto Moreno,Javier Manquillo,Jordan Henderson,Philippe Coutinho,Steven Gerrard,Rickie Lambert,Adam Lallana,Raheem Sterling,Joleon Lescott,Craig Dawson,Sebastien Pocognoli,Cristian Gamboa,Stephane Sessegnon,James Morrison,Craig Gardner,Saido Berahino,Chris Brunt,Graham Dorrans
Sunderland,Stoke City,2014-2015 Barclays Premier League,3,1,Vito Mannone,Asmir Begovic,John O'Shea,Santiago Vergini,Lee Cattermole,Patrick van Aanholt,Billy Jones,Jordi Gomez,Sebastian Larsson,Connor Wickham,William Buckley,Steven Fletcher,Marc Wilson,Ryan Shawcross,Marc Muniesa,Phil Bardsley,Charlie Adam,Glenn Whelan,Steven N'Zonzi,Peter Crouch,Victor Moses,Marko Arnautovic
Swansea City,Newcastle Utd,2014-2015 Barclays Premier League,2,2,Lukasz Fabianski,Tim Krul,Ashley Williams,Federico Fernandez,Neil Taylor,Jazz Richards,Gylfi Sigurdsson,Jonjo Shelvey,Ki Sung-Yueng,Wilfried Bony,Wayne Routledge,Nathan Dyer,Fabricio Coloccini,Michael Williamson,Paul Dummett,Daryl Janmaat,Jack Colback,Cheick Tiote,Moussa Sissoko,Yoan Gouffran,Gabriel Obertan,Papiss Cisse
Aston Villa,Manchester City,2014-2015 Barclays Premier League,0,2,Brad Guzan,Joe Hart,Nathan Baker,Philippe Senderos,Aly Cissokho,Alan Hutton,Ashley Westwood,Fabian Delph,Tom Cleverley,Andreas Weimann,Kieran Richardson,Charles N'Zogbia,Eliaquim Mangala,Vincent Kompany,Aleksandar Kolarov,Pablo Zabaleta,Yaya Toure,Fernandinho,David Silva,James Milner,Sergio Aguero,Edin Dzeko
Manchester Utd,Everton,2014-2015 Barclays Premier League,2,1,David de Gea,Tim Howard,Marcos Rojo,Paddy McNair,Daley Blind,Luke Shaw,Rafael,Juan Mata,Angel Di Maria,Antonio Valencia,Radamel Falcao,Robin van Persie,Phil Jagielka,John Stones,Leighton Baines,Tony Hibbert,Steven Naismith,Gareth Barry,Muhamed Besic,Romelu Lukaku,Steven Pienaar,Aiden McGeady
Chelsea,Arsenal,2014-2015 Barclays Premier League,2,0,Thibaut Courtois,Wojciech Szczesny,John Terry,Gary Cahill,Cesar Azpilicueta,Branislav Ivanovic,Oscar,Cesc Fabregas,Nemanja Matic,Diego Costa,Eden Hazard,Andre Schurrle,Laurent Koscielny,Per Mertesacker,Mathieu Flamini,Kieran Gibbs,Calum Chambers,Santi Cazorla,Jack Wilshere,Alexis Sanchez,Mesut Ozil,Danny Welbeck
Tottenham,Southampton,2014-2015 Barclays Premier League,1,0,Hugo Lloris,Fraser Forster,Jan Vertonghen,Younes Kaboul,Danny Rose,Kyle Naughton,Christian Eriksen,Ryan Mason,Etienne Capoue,Emmanuel Adebayor,Nacer Chadli,Erik Lamela,Toby Alderweireld,Jose Fonte,Ryan Bertrand,Nathaniel Clyne,Victor Wanyama,Morgan Schneiderlin,Steven Davis,Graziano Pelle,Sadio Mane,Dusan Tadic
West Ham,QPR,2014-2015 Barclays Premier League,2,0,Adrian,Robert Green,Winston Reid,James Tomkins,Alex Song,Aaron Cresswell,Carl Jenkinson,Mauro Zarate,Stewart Downing,Morgan Amalfitano,Enner Valencia,Diafra Sakho,Rio Ferdinand,Steven Caulker,Armand Traore,Nedum Onuoha,Sandro,Karl Henry,Leroy Fer,Niko Kranjcar,Junior Hoilett,Charlie Austin
Manchester City,Tottenham,2014-2015 Barclays Premier League,4,1,Joe Hart,Hugo Lloris,Martin Demichelis,Vincent Kompany,Gael Clichy,Bacary Sagna,David Silva,Frank Lampard,Fernando,Sergio Aguero,James Milner,Jesus Navas,Federico Fazio,Younes Kaboul,Danny Rose,Eric Dier,Christian Eriksen,Ryan Mason,Etienne Capoue,Roberto Soldado,Nacer Chadli,Erik Lamela
Arsenal,Hull City,2014-2015 Barclays Premier League,2,2,Wojciech Szczesny,Steve Harper,Nacho Monreal,Per Mertesacker,Mathieu Flamini,Kieran Gibbs,Hector Bellerin,Jack Wilshere,Santi Cazorla,Alex Oxlade-Chamberlain,Alexis Sanchez,Danny Welbeck,Curtis Davies,Michael Dawson,James Chester,Mohamed Diame,Tom Huddlestone,Jake Livermore,Andy Robertson,Ahmed Elmohamady,Abel Hernandez,Hatem Ben Arfa
Burnley,West Ham,2014-2015 Barclays Premier League,1,3,Tom Heaton,Adrian,Jason Shackell,Mike Duff,Ben Mee,Kieran Trippier,David Jones,Scott Arfield,Michael Kightly,George Boyd,Lukas Jutkiewicz,Danny Ings,Winston Reid,James Collins,Alex Song,Aaron Cresswell,Carl Jenkinson,Stewart Downing,Morgan Amalfitano,Mark Noble,Enner Valencia,Diafra Sakho
Crystal Palace,Chelsea,2014-2015 Barclays Premier League,1,2,Julian Speroni,Thibaut Courtois,Damien Delaney,Brede Hangeland,Joel Ward,Martin Kelly,Mile Jedinak,Joe Ledley,James McArthur,Fraizer Campbell,Yannick Bolasie,Jason Puncheon,John Terry,Gary Cahill,Cesar Azpilicueta,Branislav Ivanovic,Oscar,Cesc Fabregas,Nemanja Matic,Loic Remy,Eden Hazard,Willian
Everton,Aston Villa,2014-2015 Barclays Premier League,3,0,Tim Howard,Brad Guzan,Phil Jagielka,Antolin Alcaraz,Leighton Baines,Seamus Coleman,Ross Barkley,Gareth Barry,James McCarthy,Romelu Lukaku,Leon Osman,Steven Naismith,Nathan Baker,Ron Vlaar,Aly Cissokho,Alan Hutton,Ashley Westwood,Kieran Richardson,Tom Cleverley,Christian Benteke,Gabriel Agbonlahor,Charles N'Zogbia
Southampton,Sunderland,2014-2015 Barclays Premier League,8,0,Fraser Forster,Vito Mannone,Toby Alderweireld,Jose Fonte,Ryan Bertrand,Nathaniel Clyne,Morgan Schneiderlin,Jack Cork,Steven Davis,Graziano Pelle,Dusan Tadic,Shane Long,Wes Brown,John O'Shea,Lee Cattermole,Patrick van Aanholt,Santiago Vergini,Jordi Gomez,Sebastian Larsson,Connor Wickham,William Buckley,Steven Fletcher
Newcastle Utd,Leicester City,2014-2015 Barclays Premier League,1,0,Tim Krul,Kasper Schmeichel,Fabricio Coloccini,Steven Taylor,Paul Dummett,Daryl Janmaat,Moussa Sissoko,Jack Colback,Vurnon Anita,Papiss Cisse,Yoan Gouffran,Gabriel Obertan,Liam Moore,Wes Morgan,Esteban Cambiasso,Paul Konchesky,Ritchie de Laet,Danny Drinkwater,Matty James,Jeff Schlupp,Marc Albrighton,Leonardo Ulloa
QPR,Liverpool,2014-2015 Barclays Premier League,2,3,Alex McCarthy,Simon Mignolet,Steven Caulker,Richard Dunne,Yun Suk-Young,Nedum Onuoha,Sandro,Karl Henry,Leroy Fer,Mauricio Isla,Charlie Austin,Bobby Zamora,Dejan Lovren,Martin Skrtel,Jose Enrique,Glen Johnson,Steven Gerrard,Emre Can,Jordan Henderson,Mario Balotelli,Adam Lallana,Raheem Sterling
Stoke City,Swansea City,2014-2015 Barclays Premier League,2,1,Asmir Begovic,Lukasz Fabianski,Marc Wilson,Ryan Shawcross,Erik Pieters,Phil Bardsley,Stephen Ireland,Charlie Adam,Steven N'Zonzi,Peter Crouch,Victor Moses,Mame Biram Diouf,Ashley Williams,Federico Fernandez,Neil Taylor,Angel Rangel,Gylfi Sigurdsson,Thomas Carroll,Ki Sung-Yueng,Wilfried Bony,Wayne Routledge,Nathan Dyer
West Brom,Manchester Utd,2014-2015 Barclays Premier League,2,2,Boaz Myhill,David de Gea,Joleon Lescott,Craig Dawson,Sebastien Pocognoli,Andre Wisdom,Stephane Sessegnon,James Morrison,Craig Gardner,Saido Berahino,Chris Brunt,Graham Dorrans,Marcos Rojo,Phil Jones,Daley Blind,Luke Shaw,Rafael,Ander Herrera,Juan Mata,Angel Di Maria,Adnan Januzaj,Robin van Persie
West Ham,Manchester City,2014-2015 Barclays Premier League,2,1,Adrian,Joe Hart,Winston Reid,James Collins,Alex Song,Aaron Cresswell,Carl Jenkinson,Stewart Downing,Morgan Amalfitano,Mark Noble,Enner Valencia,Diafra Sakho,Eliaquim Mangala,Vincent Kompany,Gael Clichy,Pablo Zabaleta,Fernando,Yaya Toure,David Silva,Jesus Navas,Sergio Aguero,Edin Dzeko
Liverpool,Hull City,2014-2015 Barclays Premier League,0,0,Simon Mignolet,Eldin Jakupovic,Dejan Lovren,Martin Skrtel,Alberto Moreno,Javier Manquillo,Steven Gerrard,Emre Can,Joe Allen,Mario Balotelli,Adam Lallana,Raheem Sterling,Alex Bruce,Curtis Davies,James Chester,Tom Huddlestone,Jake Livermore,Mohamed Diame,Robbie Brady,Ahmed Elmohamady,Abel Hernandez,Hatem Ben Arfa
Southampton,Stoke City,2014-2015 Barclays Premier League,1,0,Fraser Forster,Asmir Begovic,Toby Alderweireld,Jose Fonte,Ryan Bertrand,Nathaniel Clyne,Morgan Schneiderlin,Jack Cork,Steven Davis,Graziano Pelle,Sadio Mane,Dusan Tadic,Marc Wilson,Ryan Shawcross,Erik Pieters,Phil Bardsley,Geoff Cameron,Charlie Adam,Steven N'Zonzi,Peter Crouch,Victor Moses,Jonathan Walters
Sunderland,Arsenal,2014-2015 Barclays Premier League,0,2,Vito Mannone,Wojciech Szczesny,Wes Brown,John O'Shea,Lee Cattermole,Patrick van Aanholt,Santiago Vergini,Jack Rodwell,Sebastian Larsson,William Buckley,Adam Johnson,Steven Fletcher,Nacho Monreal,Per Mertesacker,Kieran Gibbs,Calum Chambers,Alexis Sanchez,Mathieu Flamini,Mikel Arteta,Danny Welbeck,Santi Cazorla,Alex Oxlade-Chamberlain
West Brom,Crystal Palace,2014-2015 Barclays Premier League,2,2,Ben Foster,Julian Speroni,Joleon Lescott,Craig Dawson,Sebastien Pocognoli,Andre Wisdom,Stephane Sessegnon,Craig Gardner,James Morrison,Saido Berahino,Chris Brunt,Graham Dorrans,Brede Hangeland,Adrian Mariappa,Joel Ward,Martin Kelly,Joe Ledley,Mile Jedinak,Yannick Bolasie,Wilfried Zaha,Fraizer Campbell,Marouane Chamakh
Swansea City,Leicester City,2014-2015 Barclays Premier League,2,0,Lukasz Fabianski,Kasper Schmeichel,Ashley Williams,Federico Fernandez,Neil Taylor,Angel Rangel,Gylfi Sigurdsson,Jonjo Shelvey,Ki Sung-Yueng,Wilfried Bony,Jefferson Montero,Wayne Routledge,Liam Moore,Wes Morgan,Paul Konchesky,Ritchie de Laet,David Nugent,Danny Drinkwater,Dean Hammond,Leonardo Ulloa,Jamie Vardy,Riyad Mahrez
Burnley,Everton,2014-2015 Barclays Premier League,1,3,Tom Heaton,Tim Howard,Jason Shackell,Mike Duff,Stephen Ward,Kieran Trippier,David Jones,Scott Arfield,Michael Kightly,George Boyd,Danny Ings,Lukas Jutkiewicz,Phil Jagielka,Antolin Alcaraz,Leighton Baines,Seamus Coleman,Samuel Eto'o,Gareth Barry,James McCarthy,Romelu Lukaku,Leon Osman,Steven Naismith
Tottenham,Newcastle Utd,2014-2015 Barclays Premier League,1,2,Hugo Lloris,Tim Krul,Jan Vertonghen,Younes Kaboul,Danny Rose,Eric Dier,Christian Eriksen,Ryan Mason,Etienne Capoue,Emmanuel Adebayor,Nacer Chadli,Erik Lamela,Fabricio Coloccini,Steven Taylor,Paul Dummett,Daryl Janmaat,Moussa Sissoko,Jack Colback,Vurnon Anita,Ayoze Perez,Yoan Gouffran,Gabriel Obertan
Manchester Utd,Chelsea,2014-2015 Barclays Premier League,1,1,David de Gea,Thibaut Courtois,Marcos Rojo,Chris Smalling,Daley Blind,Luke Shaw,Rafael,Marouane Fellaini,Juan Mata,Adnan Januzaj,Angel Di Maria,Robin van Persie,John Terry,Gary Cahill,Filipe Luis,Branislav Ivanovic,Oscar,Nemanja Matic,Cesc Fabregas,Didier Drogba,Eden Hazard,Willian
QPR,Aston Villa,2014-2015 Barclays Premier League,2,0,Robert Green,Brad Guzan,Steven Caulker,Richard Dunne,Yun Suk-Young,Mauricio Isla,Sandro,Karl Henry,Leroy Fer,Eduardo Vargas,Charlie Austin,Bobby Zamora,Ciaran Clark,Ron Vlaar,Aly Cissokho,Matthew Lowton,Ashley Westwood,Carlos Sanchez,Tom Cleverley,Christian Benteke,Andreas Weimann,Gabriel Agbonlahor
Newcastle Utd,Liverpool,2014-2015 Barclays Premier League,1,0,Tim Krul,Simon Mignolet,Fabricio Coloccini,Steven Taylor,Paul Dummett,Daryl Janmaat,Moussa Sissoko,Jack Colback,Mehdi Abeid,Papiss Cisse,Sammy Ameobi,Gabriel Obertan,Martin Skrtel,Dejan Lovren,Glen Johnson,Joe Allen,Steven Gerrard,Jordan Henderson,Alberto Moreno,Raheem Sterling,Mario Balotelli,Philippe Coutinho
Arsenal,Burnley,2014-2015 Barclays Premier League,3,0,Wojciech Szczesny,Tom Heaton,Nacho Monreal,Per Mertesacker,Kieran Gibbs,Calum Chambers,Alexis Sanchez,Mathieu Flamini,Mikel Arteta,Danny Welbeck,Santi Cazorla,Alex Oxlade-Chamberlain,Jason Shackell,Mike Duff,Stephen Ward,Kieran Trippier,David Jones,Dean Marney,Scott Arfield,George Boyd,Marvin Sordell,Danny Ings
Chelsea,QPR,2014-2015 Barclays Premier League,2,1,Thibaut Courtois,Robert Green,John Terry,Gary Cahill,Filipe Luis,Branislav Ivanovic,Oscar,Nemanja Matic,Cesc Fabregas,Diego Costa,Eden Hazard,Willian,Steven Caulker,Richard Dunne,Yun Suk-Young,Mauricio Isla,Sandro,Karl Henry,Junior Hoilett,Eduardo Vargas,Charlie Austin,Leroy Fer
Everton,Swansea City,2014-2015 Barclays Premier League,0,0,Tim Howard,Lukasz Fabianski,Phil Jagielka,Antolin Alcaraz,Leighton Baines,Seamus Coleman,Steven Naismith,Gareth Barry,James McCarthy,Samuel Eto'o,Ross Barkley,Aiden McGeady,Ashley Williams,Federico Fernandez,Neil Taylor,Angel Rangel,Gylfi Sigurdsson,Ki Sung-Yueng,Jonjo Shelvey,Wilfried Bony,Jefferson Montero,Wayne Routledge
Hull City,Southampton,2014-2015 Barclays Premier League,0,1,Eldin Jakupovic,Fraser Forster,Paul McShane,Curtis Davies,James Chester,Tom Huddlestone,Jake Livermore,Mohamed Diame,Robbie Brady,Ahmed Elmohamady,Abel Hernandez,Hatem Ben Arfa,Toby Alderweireld,Jose Fonte,Ryan Bertrand,Nathaniel Clyne,Victor Wanyama,Morgan Schneiderlin,Steven Davis,Graziano Pelle,Dusan Tadic,Shane Long
Leicester City,West Brom,2014-2015 Barclays Premier League,0,1,Kasper Schmeichel,Ben Foster,Wes Morgan,Marcin Wasilewski,Esteban Cambiasso,Paul Konchesky,Ritchie de Laet,Andy King,Matty James,Danny Drinkwater,David Nugent,Jamie Vardy,Joleon Lescott,Craig Dawson,Sebastien Pocognoli,Andre Wisdom,Stephane Sessegnon,Craig Gardner,James Morrison,Saido Berahino,Chris Brunt,Graham Dorrans
Stoke City,West Ham,2014-2015 Barclays Premier League,2,2,Asmir Begovic,Adrian,Marc Wilson,Ryan Shawcross,Erik Pieters,Geoff Cameron,Bojan Krkic,Steve Sidwell,Steven N'Zonzi,Mame Biram Diouf,Victor Moses,Jonathan Walters,Winston Reid,James Collins,Aaron Cresswell,Carl Jenkinson,Alex Song,Cheikhou Kouyate,Mark Noble,Enner Valencia,Morgan Amalfitano,Stewart Downing
Manchester City,Manchester Utd,2014-2015 Barclays Premier League,1,0,,,,,,,,,,,,,,,,,,,,,,
Aston Villa,Tottenham,2014-2015 Barclays Premier League,1,2,Brad Guzan,Hugo Lloris,Nathan Baker,Ron Vlaar,Aly Cissokho,Matthew Lowton,Carlos Sanchez,Tom Cleverley,Ashley Westwood,Christian Benteke,Andreas Weimann,Charles N'Zogbia,Jan Vertonghen,Younes Kaboul,Danny Rose,Kyle Naughton,Ryan Mason,Etienne Capoue,Nacer Chadli,Christian Eriksen,Roberto Soldado,Emmanuel Adebayor
Crystal Palace,Sunderland,2014-2015 Barclays Premier League,1,3,Julian Speroni,Costel Pantilimon,Brede Hangeland,Scott Dann,Joel Ward,Martin Kelly,Joe Ledley,Mile Jedinak,Yannick Bolasie,Wilfried Zaha,Fraizer Campbell,Marouane Chamakh,John O'Shea,Santiago Vergini,Lee Cattermole,Patrick van Aanholt,Anthony Reveillere,Jordi Gomez,Sebastian Larsson,Connor Wickham,William Buckley,Steven Fletcher
Liverpool,Chelsea,2014-2015 Barclays Premier League,1,2,Simon Mignolet,Thibaut Courtois,Dejan Lovren,Martin Skrtel,Alberto Moreno,Glen Johnson,Steven Gerrard,Emre Can,Jordan Henderson,Mario Balotelli,Raheem Sterling,Philippe Coutinho,John Terry,Gary Cahill,Cesar Azpilicueta,Branislav Ivanovic,Oscar,Cesc Fabregas,Nemanja Matic,Diego Costa,Eden Hazard,Ramires
Burnley,Hull City,2014-2015 Barclays Premier League,1,0,Tom Heaton,Steve Harper,Jason Shackell,Mike Duff,Stephen Ward,Kieran Trippier,David Jones,Dean Marney,George Boyd,Scott Arfield,Danny Ings,Ashley Barnes,Paul McShane,Curtis Davies,James Chester,Jake Livermore,Tom Huddlestone,Mohamed Diame,Robbie Brady,Ahmed Elmohamady,Sone Aluko,Abel Hernandez
Manchester Utd,Crystal Palace,2014-2015 Barclays Premier League,1,0,David de Gea,Julian Speroni,Daley Blind,Paddy McNair,Michael Carrick,Luke Shaw,Antonio Valencia,Wayne Rooney,Marouane Fellaini,Angel Di Maria,Adnan Januzaj,Robin van Persie,Damien Delaney,Scott Dann,Joel Ward,Adrian Mariappa,Joe Ledley,James McArthur,Yannick Bolasie,Jason Puncheon,Fraizer Campbell,Marouane Chamakh
Southampton,Leicester City,2014-2015 Barclays Premier League,2,0,Fraser Forster,Kasper Schmeichel,Toby Alderweireld,Jose Fonte,Ryan Bertrand,Nathaniel Clyne,Victor Wanyama,Morgan Schneiderlin,Steven Davis,Graziano Pelle,Sadio Mane,Dusan Tadic,Wes Morgan,Marcin Wasilewski,Esteban Cambiasso,Jeff Schlupp,Ritchie de Laet,Andy King,Danny Drinkwater,Matty James,Leonardo Ulloa,Jamie Vardy
West Ham,Aston Villa,2014-2015 Barclays Premier League,0,0,Adrian,Brad Guzan,Winston Reid,James Collins,Alex Song,Aaron Cresswell,Carl Jenkinson,Stewart Downing,Cheikhou Kouyate,Mark Noble,Enner Valencia,Diafra Sakho,Nathan Baker,Ron Vlaar,Aly Cissokho,Matthew Lowton,Ashley Westwood,Carlos Sanchez,Tom Cleverley,Gabriel Agbonlahor,Andreas Weimann,Charles N'Zogbia
QPR,Manchester City,2014-2015 Barclays Premier League,2,2,Robert Green,Joe Hart,Steven Caulker,Richard Dunne,Yun Suk-Young,Mauricio Isla,Sandro,Karl Henry,Leroy Fer,Eduardo Vargas,Charlie Austin,Bobby Zamora,Eliaquim Mangala,Martin Demichelis,Gael Clichy,Bacary Sagna,Yaya Toure,Fernando,Fernandinho,Sergio Aguero,Samir Nasri,Jesus Navas
Sunderland,Everton,2014-2015 Barclays Premier League,1,1,Costel Pantilimon,Tim Howard,Wes Brown,John O'Shea,Liam Bridcutt,Anthony Reveillere,Santiago Vergini,Jordi Gomez,Sebastian Larsson,Connor Wickham,Adam Johnson,Steven Fletcher,Sylvain Distin,Phil Jagielka,Leighton Baines,Seamus Coleman,Samuel Eto'o,Gareth Barry,James McCarthy,Romelu Lukaku,Ross Barkley,Aiden McGeady
Tottenham,Stoke City,2014-2015 Barclays Premier League,1,2,Hugo Lloris,Asmir Begovic,Federico Fazio,Younes Kaboul,Danny Rose,Kyle Naughton,Christian Eriksen,Ryan Mason,Etienne Capoue,Harry Kane,Nacer Chadli,Andros Townsend,Marc Wilson,Ryan Shawcross,Erik Pieters,Phil Bardsley,Bojan Krkic,Steve Sidwell,Steven N'Zonzi,Mame Biram Diouf,Victor Moses,Jonathan Walters
West Brom,Newcastle Utd,2014-2015 Barclays Premier League,0,2,Ben Foster,Tim Krul,Joleon Lescott,Craig Dawson,Sebastien Pocognoli,Andre Wisdom,James Morrison,Youssouf Mulumbu,Chris Brunt,Graham Dorrans,Saido Berahino,Victor Anichebe,Paul Dummett,Fabricio Coloccini,Massadio Haidara,Daryl Janmaat,Moussa Sissoko,Jack Colback,Mehdi Abeid,Ayoze Perez,Sammy Ameobi,Remy Cabella
